rating,votes,isbn,author,series,page_count,publisher,reviews,setting,awards,year,genre,title
4.39,"3,249,405",0439023483,Suzanne Collins,The Hunger Games,374,Scholastic Press,"139,327","District 12, Panem","Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), School Library Journal Best Book of the Year (2008), Golden Duck Award for Hal Clement Award for Young Adult (2009), An ALA Notable Children's Book for Older Readers (2009)",2008,Young Adult,The Hunger Games
4.42,"1,354,930",0439358078,J.K. Rowling,,,Scholastic,"17,521",Bram Stoker Award for Works for Young Readers (2003),,June 21st 2003,Fantasy,Harry Potter and the Order of the Phoenix
3.56,"2,778,257",0316015849,Stephenie Meyer,Twilight,,"Little, Brown and Company","86,638","Forks, Washington","Georgia Peach Book Award (2007), Buxtehuder Bulle (2006), Kentucky Bluegrass Award for 9-12 (2007), An ALA/YALSA Quick Pick for Reluctant Young Adult Readers (2006), Prijs van de Kinder- en Jeugdjury Vlaanderen (2008)",October 5th 2005,Young Adult,Twilight
4.23,"1,489,397",0679783261,Jane Austen,,279,Modern Library,"36,174",,,1813,Classics,Pride and Prejudice
4.25,"682,872",0446675539,Margaret Mitchell,,,Grand Central Publishing,"12,729",,,1936,Classics,Gone with the Wind
4.22,"303,840",0066238501,C.S. Lewis,,767,HarperCollins,"7,372",,,January 1st 1949,Classics,The Chronicles of Narnia
3.80,"1,452,358",0452284244,George Orwell,,,Plume,"22,161",,,1945,Classics,Animal Farm: A Fairy Story
4.38,"514,127",0060256656,Shel Silverstein,,,HarperCollins Publishers,"11,242",,,1964,Childrens,The Giving Tree
4.18,"768,412",0345391802,Douglas Adams,,,Del Rey Books,"13,118",,,1979,Science Fiction,The Hitchhiker's Guide to the Galaxy
3.79,"714,811",0393978893,Emily Brontë,,464,W. W. Norton & Company,"19,128",Academy Award Nominee for Best Adapted Screenplay (1939),,1847,Book Club,Wuthering Heights
4.36,"757,058",0375831002,Markus Zusak,,,Knopf Books for Young Readers,"72,889",,,2005,Historical Fiction,The Book Thief
4.04,"1,099,679",0739326228,Arthur Golden,,434,Random House Large Print,"21,425",,,1997,Fiction,Memoirs Of A Geisha
3.73,"1,265,430",0307277674,Dan Brown,,,Anchor Books,"35,625",Paris,"British Book Award for Book of the Year (2005), Book Sense Book of the Year Award for Adult Fiction (2004), Humo's Gouden Bladwijzer (2004), The Flume: New Hampshire Teen Reader's Choice Award (2006), Teen Buckeye Book Award (2005)",2003,Fiction,The Da Vinci Code
4.05,"310,689",0451527747,Lewis Carroll,,,Penguin Group (USA),"5,700",,,1865,Classics,"Alice's Adventures in Wonderland / Through the Looking-Glass, and What Alice Found There"
4.58,"73,528",0345538374,J.R.R. Tolkien,,1728,Ballantine Books,"1,345",,,January 1st 1973,Fantasy,The Hobbit and The Lord of the Rings
3.72,"1,273,910",0743477111,William Shakespeare,,283,Washington Square Press,"10,710",,,1594,Classics,The Tragedy of Romeo and Juliet
4.40,"1,318,499",0525478817,John Green,,,Dutton Books,"119,033",,,2012,Young Adult,The Fault in Our Stars
3.92,"988,147",,Audrey Niffenegger,,518,Zola Books,"38,528",Arthur C. Clarke Award Nominee (2005),,January 1st 2003,Fiction,The Time Traveler's Wife
3.60,"1,259,662",0140283331,William Golding,,182,Penguin Books,"18,955",,,1954,Classics,Lord of the Flies
4.02,"445,648",0375751513,Oscar Wilde,,254,Random House: Modern Library,"12,678",,,1890,Classics,The Picture of Dorian Gray
4.28,"652,510",0812550706,Orson Scott Card,The Ender Quartet,,Tor Science Fiction,"31,742",,"Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985)",1985,Science Fiction,Ender's Game
4.15,"314,634",0143058142,Fyodor Dostoyevsky,,,Penguin,"9,028",,,1866,Classics,Преступление и наказание
3.76,"939,750",0061122416,Paulo Coelho,,,HarperCollins,"38,957",,,1988,Fiction,O Alquimista
4.11,"713,815",0064410935,E.B. White,,192,HarperCollinsPublishers,"9,296",Newbery Honor (1953),,1952,Childrens,Charlotte's Web
4.20,"418,468",0451528824,L.M. Montgomery,,,Signet Classics,"9,106",,,1908,Classics,Anne of Green Gables
3.95,"837,480",0007491565,Ray Bradbury,,227,Voyager,"19,759",,,1953,Science Fiction,Fahrenheit 451
3.79,"1,129,038",0142000671,John Steinbeck,,,Penguin Books,"16,733",,,1937,Classics,Of Mice and Men
3.95,"462,788",0393970124,Bram Stoker,,488,W.W. Norton & Company,"12,453",,,August 17th 1897,Classics,Dracula
4.44,"1,154,391",0399155341,Kathryn Stockett,,,Penguin Group G.P. Putnam's Sons Amy Einhorn Books,"71,068",Exclusive Books Boeke Prize (2009),,January 1st 2009,Book Club,The Help
4.04,"452,148",0440498058,Madeleine L'Engle,,,"Bantam Doubleday Dell Publishing Group, Inc.","13,809",Newbery Medal (1963),,1962,Fantasy,A Wrinkle in Time
4.32,"1,308,713",0062024035,Veronica Roth,,,Katherine Tegen Books,"86,047",YALSA Teens' Top Ten (2012),,January 1st 2011,Young Adult,Divergent
4.24,"484,923",0345418263,William Goldman,,398,Ballantine Books (Ballantine Reader's Circle),"11,184",,,1973,Fantasy,The Princess Bride
3.93,"788,057",0060929871,Aldous Huxley,,,Harper Perennial,"13,302",,,1932,Classics,Brave New World
4.00,"442,410",0060531045,Gabriel Garcí­a Márquez,,,Harper,"15,508",,,1967,Fiction,Cien años de soledad
4.22,"454,598",0099408392,Maurice Sendak,,,Red Fox,"6,477",,,1963,Childrens,Where the Wild Things Are
3.78,"842,604",0142437174,Mark Twain,,,Penguin Classics,"9,520","St. Petersburg, Missouri","Hörspiel des Monats 03 (2010), CD des Monats des Institutes für angewandte Kindermedienforschung - IFAK, Stuttgart, im November (2003)",1884,Fiction,The Adventures of Huckleberry Finn
3.73,"1,257,721",0316166685,Alice Sebold,,,"Little, Brown and Company","31,690",,,2002,Fiction,The Lovely Bones
4.12,"799,950",1416914285,Cassandra Clare,The Mortal Instruments,,Margaret K. McElderry Books,"39,101","New York City, New York","South Carolina Book Award Nominee for Young Adult Book Award (2010), YALSA Teens' Top Ten (2008), Georgia Peach Honor Book Award (2009), Abraham Lincoln Award (2010)",2007,Fantasy,City of Bones
4.31,"606,121",1594489505,Khaled Hosseini,,,Riverhead Hardcover,"34,914",Book Sense Book of the Year Award for Adult Fiction (2008),,2006,Fiction,A Thousand Splendid Suns
4.09,"494,865",0517189607,Frances Hodgson Burnett,,,Children's Classics,"9,203",,,1910,Fiction,The Secret Garden
4.05,"912,378",1565125606,Sara Gruen,,,Algonquin Books,"51,154",Book Sense Book of the Year Award for Adult Fiction (2007),,January 1st 2006,Book Club,Water for Elephants
4.29,"392,283",0394800168,Dr. Seuss,,,Random House Books for Young Readers,"5,652",,,June 1960,Childrens,Green Eggs and Ham
4.20,"636,774",0671027344,Stephen Chbosky,,,MTV Books and Pocket Books,"35,711",,,January 1st 1999,Young Adult,The Perks of Being a Wallflower
3.77,"533,775",0141439602,Charles Dickens,,,Penguin Classics,"9,845",,,1859,Fiction,A Tale of Two Cities
3.86,"856,541",0770430074,Yann Martel,,,Seal Books,"37,398",,,2001,Fiction,Life of Pi
3.68,"582,490",0143039954,Homer,,,Penguin Classics,"6,017",,,-800,Academic,Οδύσσεια
3.86,"396,946",,Vladimir Nabokov,,378,Penguin Classics,"12,568",,,1955,Classics,Lolita
4.01,"465,183",014038572X,S.E. Hinton,,,Speak,"14,714",,,1967,Academic,The Outsiders
4.02,"664,226",0385333846,Kurt Vonnegut,,,Dial Press Trade Paperback,"13,290",,,1969,Fiction,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death"
3.85,"1,938,817",0743273567,F. Scott Fitzgerald,,,Scribner,"39,741",,,1925,Classics,The Great Gatsby
3.77,"1,578,419",0316769177,J.D. Salinger,,,Back Bay Books,"33,107",,,June 16th 1951,Classics,The Catcher in the Rye
3.97,"416,149",0684833395,Joseph Heller,,,Simon & Schuster,"10,134",,,1961,Classics,Catch-22
4.26,"355,660",0451207149,Ken Follett,,,NAL Trade,"22,673",,,1989,Historical Fiction,The Pillars of the Earth
4.13,"380,656",0340839937,Frank Herbert,,,Hodder & Stoughton,"8,807",Hugo Award for Best Novel (1966),,December 1st 1963,Science Fiction,Dune
4.03,"230,259",038039586X,Richard Adams,,,Avon Books,"7,594",Mythopoeic Fantasy Award Nominee (1975),,1972,Classics,Watership Down
4.32,"336,654",0385199570,Stephen King,,1153,Doubleday,"10,205",World Fantasy Award Nominee for Best Novel (1979),,1978,Horror,The Stand
4.04,"685,285",0743454537,Jodi Picoult,,,Washington Square Press,"27,147",,,January 1st 2004,Fiction,My Sister's Keeper
3.70,"658,932",0141439475,Mary Shelley,,273,Penguin Books Ltd,"12,941",,,1818,Classics,"Frankenstein; or, The Modern Prometheus"
4.27,"127,060",0192835084,Arthur Conan Doyle,,,"Oxford University Press, USA","3,417",,,1892,Mystery,The Adventures of Sherlock Holmes
4.22,"239,974",0061120073,Betty Smith,,,HarperCollins Publishers,"12,713",,,1940,Classics,A Tree Grows in Brooklyn
4.17,"395,783",0451163966,Ken Kesey,,,Signet,"5,422",,,1962,Classics,One Flew Over the Cuckoo's Nest
4.23,"480,091",0156012197,Antoine de Saint-Exupéry,,,"Harcourt, Inc.","13,523",,,1940,Young Adult,Le Petit Prince
4.04,"329,404",0007205236,Frank McCourt,,,Harper Perennial,"7,912",Pulitzer Prize for Biography or Autobiography (1997),,1996,Non Fiction,Angela's Ashes: A Memoir of a Childhood
4.44,"891,118",0553588486,George R.R. Martin,,,Bantam Spectra,"36,106",Nebula Award Nominee (1998),,August 6th 1996,Fiction,A Game of Thrones
3.99,"388,501",038549081X,Margaret Atwood,,311,Anchor Books,"16,050",Man Booker Prize Nominee (1986),,1985,Fiction,The Handmaid's Tale
3.95,"320,209",0061148512,Sylvia Plath,,,Harper Perennial Modern Classics,"10,154",,,January 14th 1963,Classics,The Bell Jar
3.94,"425,067",0307265439,Cormac McCarthy,,,Knopf,"32,261",,,2006,Fiction,The Road
4.19,"888,006",0786838655,Rick Riordan,,377,Disney Hyperion Books,"33,443",School Library Journal Best Book of the Year (2005),,January 1st 2005,Fantasy,The Lightning Thief
4.18,"232,247",0316323705,Daphne du Maurier,,,"Little, Brown and Company","10,219",,,1938,Classics,Rebecca
4.13,"313,512",0671727796,Alice Walker,,,Pocket,"5,827",,,1982,Fiction,The Color Purple
3.98,"467,593",0060786507,Barbara Kingsolver,,,Harper Perennial Modern Classics,"16,955",,,1998,Historical Fiction,The Poisonwood Bible
3.95,"345,658",0393312836,Anthony Burgess,,,W. W. Norton & Company,"6,712",,,1962,Classics,A Clockwork Orange
3.99,"328,989",0345803922,Leo Tolstoy,,964,Vintage,"13,837",,,1877,Classics,Анна Каренина
4.28,"127,335",0374528373,Fyodor Dostoyevsky,,,"Farrar, Straus and Giroux","5,391",,,February 1st 1879,Classics,Братья Карамазовы
4.15,"341,580",0440242940,Diana Gabaldon,Outlander,,Dell Publishing Company,"23,898",Scotland,"RITA Award by Romance Writers of America for Best Romance (1992), Puddly Award for Romance (2001)",1991,Historical Fiction,Outlander
3.66,"225,239",0452011876,Ayn Rand,,,Plume,"12,204",,,1957,Fiction,Atlas Shrugged
4.21,"1,351,153",1594480001,Khaled Hosseini,,,Penguin Berkley Publishing Group Riverhead Books,"47,626",,,June 2nd 2002,Fiction,The Kite Runner
3.95,"289,679",0553208845,Hermann Hesse,,,Bantam Books,"7,710",,,1922,Classics,Siddhartha
4.16,"323,203",,Richelle Mead,,332,Razorbill,"15,578",,,January 1st 2007,Young Adult,Vampire Academy
3.82,"112,495",0142437239,Miguel de Cervantes Saavedra,,,Penguin Classics,"3,778",,,1605,Classics,El ingenioso hidalgo Don Quijote de la Mancha
4.07,"1,314,221",0307269752,Stieg Larsson,,465,Knopf Publishing Group,"56,306",Barry Award for Mystery/Crime Novel Of The Decade (2010),,August 2005,Book Club,Män som hatar kvinnor
4.21,"195,510",0552135399,John Irving,,,Corgi Adult,"9,033",,,1989,Fiction,A Prayer for Owen Meany
4.11,"1,013,804",0385732554,Lois Lowry,,,Ember,"41,666",Newbery Medal (1994),,1993,Young Adult,The Giver
4.00,"1,006,272",0451529308,Louisa May Alcott,,,Signet Classics,"13,010",Academy Award for Best Adapted Screenplay (1933),,1868,Classics,"Little Women, or Meg, Jo, Beth and Amy"
4.04,"874,163",0553816713,Nicholas Sparks,,,Bantam,"14,274",,,1996,Fiction,The Notebook
4.14,"355,207",0312353766,Anita Diamant,,,St. Martin's Press,"14,525",Book Sense Book of the Year Award for Adult Fiction (2001),,1997,Historical Fiction,The Red Tent
3.41,"320,195",0142437247,Herman Melville,,,Penguin Classics,"7,942",,,1851,Classics,"Moby-Dick; or, The Whale."
3.89,"733,686",0679879242,Philip Pullman,,,Knopf Books for Young Readers,"11,478",Listen Up Award for Young Adults Young Adult Library Services Association,,January 1st 1995,Young Adult,Northern Lights
3.96,"334,590",0345476875,Anne Rice,The Vampire Chronicles,,Ballantine Books,"6,224","New Orleans, Louisiana",British Fantasy Society Nominee (1977),1976,Fantasy,Interview With The Vampire
3.65,"349,464",0684830493,Ernest Hemingway,,,Scribner,"10,352",,,1952,Classics,The Old Man and the Sea
4.36,"148,862",,Edgar Allan Poe,,,"Doubleday & Company, Inc.","1,462",,,January 1st 1927,Classics,"0385074077
(ISBN13: 9780385074070)"
3.97,"765,191",0142001740,Sue Monk Kidd,,,Penguin Books,"22,640",Book Sense Book of the Year Award for Paperback (2004),,November 8th 2001,Fiction,The Secret Life of Bees
3.94,"409,150",0312422156,Jeffrey Eugenides,,,Picador,"17,760",Pulitzer Prize for Fiction (2003),,2002,Fiction,Middlesex
4.30,"1,260,828",0618346252,J.R.R. Tolkien,,,Houghton Mifflin Harcourt,"10,514",Publieksprijs voor het Nederlandse Boek Nominee (2002),,1954,Fantasy,The Fellowship of the Ring
4.32,"167,174",0525467564,A.A. Milne,,,Dutton Juvenile,"2,004",Lewis Carroll Shelf Award (1958),,1926,Classics,Winnie the Pooh
3.66,"216,045",0140042598,Jack Kerouac,,,Penguin Books,"9,252",,,1957,Classics,On the Road
3.87,"418,022",0143039563,Mark Twain,,,Penguin Classics,"4,691",,,1876,Classics,The Adventures of Tom Sawyer
4.08,"379,681",0142403881,Roald Dahl,,,Puffin,"5,671",Books I Loved Best Yearly (BILBY) Awards for Read Aloud (1992),,1964,Childrens,Charlie and the Chocolate Factory
4.00,"381,034",0751529818,Mitch Albom,,,Warner,"14,469",,,1997,Non Fiction,Tuesdays with Morrie
4.27,"214,178",0241003008,Eric Carle,,,"Penguin Books, Limited (UK)","4,253",,,1969,Childrens,The Very Hungry Caterpillar
4.06,"177,511",0571224385,Milan Kundera,,314,,"7,211",,,November 19th 1981,Classics,Nesnesitelná lehkost bytí
3.33,"403,962",,Nathaniel Hawthorne,,228,Penguin Books Ltd,"8,643",,,1850,Classics,"0142437263
(ISBN13: 9780142437261)"
4.01,"219,200",0375806814,Wilson Rawls,,,Yearling,"6,907",,,1961,Classics,Where the Red Fern Grows
4.33,"100,219",0679760806,Mikhail Bulgakov,,,Vintage,"5,004",,,1966,Fiction,Мастер и Маргарита
4.02,"317,000",1416989412,Becca Fitzpatrick,"Hush, Hush",391,Simon & Schuster BFYR,"17,756","Coldwater, Maine","YALSA Teens' Top Ten (2010), Goodreads Choice Nominee for Young Adult Series (2009)",January 1st 2009,Young Adult,"Hush, Hush"
4.48,"5,648",,Reduced Shakespeare Company,,,Applause Theatre & Cinema Book Publishers,108,,,,Plays,"1557831572
(ISBN13: 9781557831576)"
4.44,"91,142",067168390X,Larry McMurtry,,,Pocket Books,"4,102",Pulitzer Prize for Fiction (1986),,1985,Fiction,Lonesome Dove
3.87,"376,342",1401308589,Mitch Albom,,196,Hyperion,"13,326",,,January 1st 2003,Fiction,The Five People You Meet in Heaven
3.82,"676,062",1400032717,Mark Haddon,,,Vintage,"26,832",,,2003,Fiction,The Curious Incident of the Dog in the Night-Time
3.92,"328,589",,Albert Camus,,,Vintage International,"8,947",,,1941,Philosophy,L’Étranger
3.79,"786,693",0375826696,Christopher Paolini,The Inheritance Cycle,,Knopf Books for Young Readers,"14,486",,"Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), Rebecca Caudill Young Reader's Book Award (2006), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006)",June 2002,Fantasy,Eragon
4.31,"330,076",1416975861,Cassandra Clare,The Infernal Devices,479,"Simon & Schuster, Margaret K. McElderry","16,756","London, England","RITA Award by Romance Writers of America Nominee for Best Young Adult Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Voya Perfect Ten (2010), The Inky Awards for Silver Inky longlist (2011), Abraham Lincoln Award Nominee (2013)",September 6th 2009,Paranormal,Clockwork Angel
4.21,"221,353",0143034901,Carlos Ruiz Zafón,El cementerio de los libros olvidados,,Penguin Books,"17,513",Spain,"Barry Award for Best First Novel (2005), Borders Original Voices Award for Fiction (2004), Dilys Award Nominee (2005), Humo's Gouden Bladwijzer (2006), Prix du Meilleur Livre Étranger for Roman (2004)",2001,Fiction,La sombra del viento
4.14,"268,895",039480001X,Dr. Seuss,,,Random House Books for Young Readers,"3,216",,,1957,Childrens,The Cat in the Hat
4.08,"152,973",0156001314,Umberto Eco,,,Harvest Books,"4,077",إمبيرتو,,1980,Novels,Il nome della rosa
3.99,"232,445",0156030306,Daniel Keyes,,,Mariner Books,"6,995",,,April 1st 1959,Fiction,Flowers for Algernon
4.02,"324,457",0679745580,Truman Capote,,343,Vintage Books,"8,233",,,1966,Non Fiction,In Cold Blood
3.74,"259,911",0553213695,Franz Kafka,,,Bantam Classics,"5,847",,,1915,Classics,Die Verwandlung
4.33,"110,016",0060529962,Laura Ingalls Wilder,,2700,Avon Books,"1,727",,,1953,Classics,The Little House Collection
4.41,"198,236",1595141979,Richelle Mead,,,Razorbill,"7,857",Montana,,January 1st 2008,Paranormal,Shadow Kiss
4.34,"193,057",0451205766,Mario Puzo,,,NAL Trade,"3,925",,,1969,Fiction,The Godfather
4.20,"260,142",0312330871,Agatha Christie,,,St. Martin's Griffin,"9,078",,,1939,Mystery,Ten Little Niggers
4.32,"302,088",0930289234,Alan Moore,,,DC Comics,"8,780","New York City, New York","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album etranger (1989), Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988)",1986,Sequential Art,Watchmen
4.19,"284,791",0393327345,Chuck Palahniuk,,,W.W. Norton & Company (NYC),"7,740",Oregon Book Award for Fiction (1997),,1996,Fiction,Fight Club
4.04,"65,093",0679433139,Dante Alighieri,,,Everyman's Library,"1,892",Prêmio Jabuti Tradução (2000),,1321,Classics,Commedia
3.83,"143,484",0061120065,Zora Neale Hurston,,,Harper Perennial Modern Classics,"6,403",,,1937,Classics,Their Eyes Were Watching God
4.13,"409,727",0446693804,Nicholas Sparks,,,Grand Central Publishing,"8,778",Iowa High School Book Award (2004),,September 1st 2000,Romance,A Walk to Remember
3.90,"535,260",0439244196,Louis Sachar,,,Scholastic,"11,637",Newbery Medal (1999),,January 1st 1998,Young Adult,Holes
4.10,"139,310",0805072454,J.M. Barrie,,155,Henry Holt and Co.,"4,538",,,January 1st 1902,Classics,Peter and Wendy
4.25,"323,703",0141301066,Roald Dahl,,,Puffin,"6,889",,,1988,Childrens,Matilda
4.31,"208,167",1595141758,Richelle Mead,,,Razorbill,"7,774","Spokane, Washington",,April 1st 2008,Paranormal,Frostbite
4.19,"208,876",0380018179,Colleen McCullough,,,Avon,"3,405",,,1977,Fiction,The Thorn Birds
4.26,"209,413",,Margaret Wise Brown,,32,HarperCollins,"3,642",,,1947,Childrens,"0060775858
(ISBN13: 9780060775858)"
3.44,"912,083",0143038419,Elizabeth Gilbert,,,Riverhead Trade,"44,488",,,2000,Non Fiction,"Eat, Pray, Love"
4.17,"497,817",0142402516,John Green,,,Speak,"32,703",School Library Journal Best Book of the Year (2005),,2005,Young Adult,Looking for Alaska
4.38,"185,075",1595141987,Richelle Mead,,,Penguin Razorbill,"6,949",Montana,"Children's Choice Book Award Nominee for Teen Choice Book of the Year (2010), Goodreads Choice Nominee for Young Adult Series (2009)",,Fantasy,Blood Promise
4.34,"188,417",0007173040,Dr. Seuss,,,Harper Collins Children's Books,"1,556",,,October 12th 1957,Childrens,How the Grinch Stole Christmas!
3.86,"252,473",140003468X,Gabriel Garcí­a Márquez,,348,Vintage International,"11,811",,,1985,Fiction,El amor en los tiempos del cólera
3.95,"150,718",1416500189,Pearl S. Buck,,418,Simon & Schuster,"6,653",Pulitzer Prize for Novel (1932),,1931,Classics,The Good Earth
3.84,"288,172",038572179X,Ian McEwan,,,Anchor,"12,363",,,September 17th 2001,Fiction,Atonement
3.97,"150,391",0140120831,Patrick Süskind,,,"Penguin Books, Ltd","6,931",,,1985,Fiction,Das Parfum: Die Geschichte eines Mörders
4.10,"322,965",0747263744,Neil Gaiman,American Gods,656,Headline Review,"15,919",United States,"Bram Stoker Award for Best Novel (2001), Hugo Award for Best Novel (2002), Nebula Award for Best Novel (2002), Locus Award for Best Fantasy Novel (2002), International Horror Guild Award Nominee for Best Novel (2001)",2001,Fantasy,American Gods
4.35,"172,712",,Dr. Seuss,,,Random House Books for Young Readers,"2,395",,,August 12th 1971,Childrens,"0679889108
(ISBN13: 9780679889106)"
4.16,"155,343",158049580X,Oscar Wilde,,,Prestwick House Inc.,"4,271",,,February 14th 1895,Classics,"The Importance of Being Earnest, A Trivial Comedy for Serious People"
4.25,"323,784",8420464546,Roald Dahl,,,Alfaguara Infantil,"6,892",,,1988,Childrens,Matilda
3.96,"195,253",0140621679,L. Frank Baum,,156,Penguin,"5,977",,,1900,Classics,The Wonderful Wizard of Oz
4.15,"631,617",0007442912,Veronica Roth,,,HarperCollins Children's Books,"46,497",Romantic Times Reviewers' Choice Award (RT Award) for Young Adult Protagonist (2011),,January 1st 2012,Science Fiction,Insurgent
4.55,"236,300",075640407X,Patrick Rothfuss,The Kingkiller Chronicle,,Penguin Group DAW Hardcover,"17,144",,"ALA Alex Award (2008), The Quill Award for Science Fiction/Fantasy/Horror (2007), Sakura Medal for High School Book (2009), Tähtifantasia Award Nominee (2011)",,Fantasy,The Name of the Wind
3.71,"132,325",0141439599,Thomas Hardy,,,Penguin Classics,"4,963",,,1891,Classics,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented
4.47,"343,904",0739380338,Rick Riordan,,,,"12,345",Goodreads Choice Nominee for Favorite Book & Young Adult Series (2009),,January 1st 2009,Fantasy,The Last Olympian
4.35,"193,598",0345453743,Douglas Adams,,,Del Rey Books,"3,360",,,January 17th 1996,Science Fiction,The Ultimate Hitchhiker's Guide
4.10,"297,203",0451169514,Stephen King,,,Signet,"6,660",Locus Award Nominee for Best Fantasy Novel (1987),,January 1st 1986,Horror,It
4.10,"133,212",0345350499,Marion Zimmer Bradley,Avalon,,Ballantine Books,"4,588",Camelot,Locus Award for Best Fantasy Novel (1984),January 1st 1982,Fantasy,The Mists of Avalon
4.04,"165,444",,Alexandre Dumas,,,Modern Library,"3,587",,,1843,Classics,Les Trois Mousquetaires
4.21,"117,717",000100039X,Kahlil Gibran,,,Rupa & Co,"4,140",,,1923,Poetry,The Prophet
3.93,"265,232",0743477545,William Shakespeare,,204,Simon & Schuster,"3,579",,,1595,Classics,A Midsummer Night's Dream
3.87,"450,158",,Amy Tan,,,Penguin Books,"5,138",,,1989,Fiction,"0143038095
(ISBN13: 9780143038092)"
3.39,"217,766",1892295490,Joseph Conrad,,,Green Integer,"6,754",,,1899,Classics,Heart of Darkness
4.21,"141,650",,Norton Juster,,,Random House Bullseye Books,"6,066",,,1961,Academic,"0394820371
(ISBN13: 9780394820378)"
3.76,"110,299",0743278909,Richard Bach,,112,Scribner,"3,740",Nene Award (1974),,1970,Classics,Jonathan Livingston Seagull
3.46,"122,657",0140424385,Geoffrey Chaucer,,,Penguin Classics,"2,080",,,1390,Classics,The Canterbury Tales
4.05,"144,721",0345915593,John Irving,,,Ballantine Books,"3,688",National Book Award for Fiction (1980),,1978,Fiction,The World According to Garp
