year,state,count
2006,WA,0
2006,WI,0
2006,WV,0
2006,FL,0
2006,WY,0
2006,NH,0
2006,NJ,1
2006,NM,0
2006,NC,0
2006,ND,0
2006,NE,0
2006,NY,0
2006,RI,0
2006,NV,0
2006,CO,0
2006,CA,0
2006,GA,0
2006,CT,0
2006,OK,0
2006,OH,0
2006,KS,0
2006,SC,0
2006,KY,0
2006,OR,0
2006,SD,0
2006,DE,0
2006,DC,0
2006,HI,0
2006,TX,0
2006,LA,0
2006,TN,0
2006,PA,0
2006,VA,0
2006,AK,0
2006,AL,0
2006,AR,0
2006,VT,0
2006,IL,0
2006,IN,0
2006,IA,0
2006,AZ,0
2006,ID,0
2006,ME,0
2006,MD,0
2006,MA,0
2006,UT,0
2006,MO,0
2006,MN,0
2006,MI,0
2006,MT,0
2006,MS,0
2006,total,1
2007,WA,0
2007,WI,2
2007,WV,0
2007,FL,1
2007,WY,0
2007,NH,0
2007,NJ,3
2007,NM,1
2007,NC,1
2007,ND,0
2007,NE,0
2007,NY,3
2007,RI,0
2007,NV,0
2007,CO,1
2007,CA,9
2007,GA,1
2007,CT,0
2007,ON,1
2007,OK,0
2007,OH,1
2007,KS,1
2007,SC,1
2007,KY,0
2007,OR,1
2007,SD,0
2007,DE,0
2007,DC,0
2007,HI,0
2007,TX,5
2007,LA,0
2007,TN,0
2007,PA,3
2007,VA,3
2007,AK,0
2007,AL,0
2007,AR,1
2007,VT,0
2007,IL,3
2007,IN,0
2007,IA,0
2007,AZ,0
2007,ID,1
2007,ME,0
2007,MD,1
2007,MA,1
2007,UT,1
2007,MO,1
2007,MN,0
2007,MI,2
2007,MT,0
2007,QC,1
2007,MS,0
2007,total,50
2008,WA,2
2008,BC,1
2008,WI,2
2008,WV,0
2008,FL,4
2008,WY,0
2008,NH,0
2008,NJ,0
2008,NM,0
2008,NC,1
2008,ND,0
2008,NE,0
2008,NY,5
2008,RI,2
2008,NV,1
2008,CO,4
2008,CA,10
2008,GA,0
2008,CT,0
2008,ON,1
2008,OK,0
2008,OH,4
2008,KS,1
2008,SC,0
2008,KY,0
2008,OR,1
2008,SD,0
2008,DE,0
2008,DC,1
2008,HI,0
2008,SK,1
2008,TX,7
2008,LA,2
2008,TN,1
2008,PA,6
2008,VA,4
2008,AK,0
2008,AL,0
